127.0.0.1 - - [09/May/2026:09:33:33 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/May/2026:09:33:34 +0530] "GET /EcomStore/views/user/home.jsp HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [09/May/2026:09:33:34 +0530] "GET /EcomStore/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2026:09:33:34 +0530] "GET /EcomStore/src/main/webapp/assets/images/kurti.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [09/May/2026:09:33:34 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/May/2026:09:33:38 +0530] "GET /EcomStore/auth?action=login HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [09/May/2026:09:33:38 +0530] "GET /EcomStore/assets/css/auth.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2026:09:33:41 +0530] "POST /EcomStore/auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2026:09:33:41 +0530] "GET /EcomStore/views/user/home.jsp HTTP/1.1" 200 9740
0:0:0:0:0:0:0:1 - - [09/May/2026:09:33:41 +0530] "GET /EcomStore/src/main/webapp/assets/images/kurti.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [09/May/2026:09:33:48 +0530] "GET /EcomStore/assets/css/product.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2026:09:33:49 +0530] "GET /EcomStore/product HTTP/1.1" 200 113764
0:0:0:0:0:0:0:1 - - [09/May/2026:09:33:51 +0530] "GET /EcomStore/views/user/home.jsp HTTP/1.1" 200 9740
0:0:0:0:0:0:0:1 - - [09/May/2026:09:33:52 +0530] "GET /EcomStore/src/main/webapp/assets/images/kurti.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [09/May/2026:09:36:02 +0530] "GET /EcomStore/views/user/home.jsp HTTP/1.1" 200 9740
0:0:0:0:0:0:0:1 - - [09/May/2026:09:36:02 +0530] "GET /EcomStore/src/main/webapp/assets/images/kurti.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [09/May/2026:09:36:02 +0530] "GET /EcomStore/assets/css/modern-ui.css HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [09/May/2026:09:36:02 +0530] "GET /EcomStore/assets/css/style.css HTTP/1.1" 200 8328
0:0:0:0:0:0:0:1 - - [09/May/2026:09:36:03 +0530] "GET /EcomStore/assets/js/modern-ui.js HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [09/May/2026:09:36:05 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/May/2026:09:40:17 +0530] "GET /EcomStore/views/user/home.jsp HTTP/1.1" 200 15073
0:0:0:0:0:0:0:1 - - [09/May/2026:09:40:17 +0530] "GET /EcomStore/assets/css/modern-ui.css HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [09/May/2026:09:40:17 +0530] "GET /EcomStore/assets/css/style.css HTTP/1.1" 200 12074
0:0:0:0:0:0:0:1 - - [09/May/2026:09:40:17 +0530] "GET /EcomStore/assets/js/modern-ui.js HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [09/May/2026:09:40:18 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/May/2026:09:45:57 +0530] "GET /EcomStore/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2026:09:45:57 +0530] "GET /EcomStore/product HTTP/1.1" 200 113764
0:0:0:0:0:0:0:1 - - [09/May/2026:09:46:49 +0530] "GET /EcomStore/views/user/home.jsp HTTP/1.1" 200 15073
0:0:0:0:0:0:0:1 - - [09/May/2026:09:46:49 +0530] "GET /EcomStore/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2026:09:49:04 +0530] "GET /EcomStore/views/user/home.jsp HTTP/1.1" 200 11539
0:0:0:0:0:0:0:1 - - [09/May/2026:09:49:04 +0530] "GET /EcomStore/assets/css/style.css HTTP/1.1" 200 12074
0:0:0:0:0:0:0:1 - - [09/May/2026:09:49:04 +0530] "GET /EcomStore/assets/css/modern-ui.css HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [09/May/2026:09:49:04 +0530] "GET /EcomStore/assets/js/modern-ui.js HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [09/May/2026:09:49:07 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/May/2026:09:49:36 +0530] "GET /EcomStore/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2026:09:49:36 +0530] "GET /EcomStore/auth?action=login HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [09/May/2026:09:49:38 +0530] "GET /EcomStore/views/user/home.jsp HTTP/1.1" 200 10600
